CODIGO_ESCOLA|UF|CODMUNIC|MUNIC|DEP|CODFUNC|LAB_INFO|BIBLIO|PROFESS|FUNCION|VDG1CA|VDG1C1|VDG1C3|VDG1C4
25384640|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|1|1|33|58|0|0|29|30
25384641|Roraima|140100100050|ALTO ALEGRE|Estadual|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25384642|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|14|17|0|1|11|3
25384643|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|1|1|0|1|1|0
25384644|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|1|1|0|0|1|0
25384645|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|1|1|0|1|1|0
25384646|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|1|1|0|1|1|0
25384647|Roraima|140200300308|MUCAJAI|Estadual|Ativo|0|0|2|2|0|1|2|0
25384648|Roraima|140100100050|ALTO ALEGRE|Estadual|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25384649|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|1|2|0|1|1|0
25384650|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|1|1|1|0|0|1|0
25384651|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|1|1|0|1|1|0
25384652|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|19|32|0|3|13|7
25384653|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|1|1|0|1|1|0
25384654|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|1|1|0|1|1|0
25384655|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|1|2|3|0|1|1|0
25384656|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|1|13|17|0|1|11|5
25384657|Roraima|140100100050|ALTO ALEGRE|Estadual|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25384658|Roraima|140200300308|MUCAJAI|Estadual|Ativo|0|0|20|28|0|2|15|10
25384659|Roraima|140100100050|ALTO ALEGRE|Estadual|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25384660|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|3|3|0|1|2|0
25384661|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|1|1|0|1|1|0
25384662|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|1|52|73|0|3|28|0
25384663|Roraima|140100100050|ALTO ALEGRE|Estadual|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25384664|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|1|20|24|0|2|13|6
25384665|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|1|1|0|1|1|0
25384666|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|5|5|0|0|3|0
25384667|Roraima|140100100050|ALTO ALEGRE|Estadual|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25384668|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|1|13|30|0|2|8|3
25384669|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|1|1|0|1|1|0
25384670|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|1|2|0|1|1|0
25384671|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|1|1|0|1|1|0
25384672|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|1|2|0|1|1|0
25384673|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|13|18|0|1|11|6
25384674|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|1|1|0|1|1|0
25384675|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|1|1|0|1|1|0
25384676|Roraima|140100100050|ALTO ALEGRE|Municipal|Ativo|0|0|26|33|2|7|5|0
25384677|Roraima|140100100100|BOA VISTA|Federal|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25384678|Roraima|140100100100|BOA VISTA|Estadual|Ativo|0|1|55|88|0|0|18|46
25384679|Roraima|140100100100|BOA VISTA|Estadual|Ativo|1|1|117|146|0|0|13|81
25384680|Roraima|140100100100|BOA VISTA|Estadual|Ativo|0|1|73|107|0|0|0|66
25384681|Roraima|140100100100|BOA VISTA|Estadual|Ativo|0|1|30|66|0|0|8|22
25384682|Roraima|140100100100|BOA VISTA|Estadual|Ativo|1|1|55|90|0|0|19|36
25384683|Roraima|140100100100|BOA VISTA|Estadual|Ativo|1|1|45|102|0|0|18|37
25384684|Roraima|140100100100|BOA VISTA|Estadual|Ativo|1|1|37|64|0|0|7|34
25376615|Roraima|140100100100|BOA VISTA|Federal|Ativo|1|1|103|250|0|0|0|40
25384685|Roraima|140100100100|BOA VISTA|Estadual|Ativo|0|1|47|87|0|0|34|0
25384686|Roraima|140100100027|AMAJARI|Estadual|Ativo|0|0|6|6|0|0|6|0
25384687|Roraima|140100100100|BOA VISTA|Estadual|Ativo|0|1|15|40|0|0|11|0
25384688|Roraima|140100100027|AMAJARI|Estadual|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25384689|Roraima|140100100100|BOA VISTA|Estadual|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25384690|Roraima|140100100100|BOA VISTA|Municipal|Ativo|0|0|4|4|0|1|2|0
25384691|Roraima|140100100100|BOA VISTA|Estadual|Ativo|0|0|7|7|0|1|6|0
25384692|Roraima|140100100100|BOA VISTA|Estadual|Ativo|0|0|14|20|0|2|9|0
25384693|Roraima|140100100027|AMAJARI|Estadual|Ativo|0|0|1|1|0|0|1|0
25384694|Roraima|140100200704|UIRAMUTA|Estadual|Ativo|0|0|1|1|0|0|1|0
25384695|Roraima|140100100456|PACARAIMA|Estadual|Ativo|0|1|9|9|0|1|8|0
25384696|Roraima|140100100027|AMAJARI|Estadual|Ativo|0|0|1|1|0|0|1|0
25384697|Roraima|140100100456|PACARAIMA|Estadual|Ativo|0|0|7|7|0|1|7|0
25384698|Roraima|140100100027|AMAJARI|Estadual|Ativo|0|1|13|13|0|0|7|0
25384699|Roraima|140100100100|BOA VISTA|Estadual|Ativo|0|1|36|111|0|8|22|0
25384700|Roraima|140100100100|BOA VISTA|Estadual|Ativo|0|1|17|50|0|0|17|0
25384701|Roraima|140100100100|BOA VISTA|Estadual|Ativo|1|1|37|55|0|0|30|0
25384702|Roraima|140100200704|UIRAMUTA|Estadual|Ativo|0|0|8|8|0|1|8|0
25384703|Roraima|140100100100|BOA VISTA|Estadual|Ativo|0|1|47|75|0|0|28|0
25384704|Roraima|140100100100|BOA VISTA|Estadual|Ativo|1|1|36|82|0|0|26|0
25384705|Roraima|140100100456|PACARAIMA|Estadual|Ativo|0|1|32|55|0|0|28|0
25376616|Roraima|140100100100|BOA VISTA|Particular|Ativo|1|1|55|100|0|12|32|11
25378366|Roraima|140100100100|BOA VISTA|Particular|Ativo|1|1|16|22|0|0|16|0
25384706|Roraima|140100100100|BOA VISTA|Particular|Ativo|1|1|28|46|0|3|16|17
25384707|Roraima|140100100456|PACARAIMA|Estadual|Ativo|0|0|7|7|0|0|6|1
25384708|Roraima|140100100100|BOA VISTA|Estadual|Ativo|0|1|39|73|0|0|25|0
25384709|Roraima|140100100100|BOA VISTA|Estadual|Ativo|0|0|1|1|0|0|1|0
25384710|Roraima|140100100456|PACARAIMA|Estadual|Ativo|0|0|1|1|0|1|1|0
25384711|Roraima|140100100100|BOA VISTA|Estadual|Ativo|0|1|16|48|0|0|16|0
25384712|Roraima|140100200704|UIRAMUTA|Estadual|Ativo|0|0|6|8|0|0|6|0
25384713|Roraima|140100100456|PACARAIMA|Estadual|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25384714|Roraima|140100100100|BOA VISTA|Estadual|Ativo|1|1|29|74|0|0|19|0
25384715|Roraima|140100100456|PACARAIMA|Estadual|Ativo|0|0|8|10|0|1|7|2
25384716|Roraima|140100100456|PACARAIMA|Estadual|Ativo|0|0|1|1|0|0|1|0
25384717|Roraima|140100100100|BOA VISTA|Estadual|Ativo|0|1|29|51|0|0|20|0
