SQ_CANDIDATO;NM_MUNICIPIO;CD_MUNICIPIO;NR_ZONA;DS_SIT_TOT_TURNO;NM_CANDIDATO;SG_PARTIDO;QT_VOTOS_NOMINAIS
230000002789;BOA VISTA;03018;1;SUPLENTE;KATIANA DA ENCARNAÇÃO RODRIGUES;PC do B;25
230000002591;BOA VISTA;03018;5;SUPLENTE;DARKSON CORREA MOTA;PC do B;645
230000002100;BOA VISTA;03018;1;SUPLENTE;IDALIANA DA SILVA RODRIGUES;PSD;31
230000002105;BOA VISTA;03018;5;SUPLENTE;ITAMAR ELIAS DE OLIVEIRA JUNIOR;PSD;229
230000001948;BOA VISTA;03018;5;SUPLENTE;MARIA DO SOCORRO ARAÚJO COSTA;PP;57
230000001949;BOA VISTA;03018;1;SUPLENTE;JOSÉ AUGUSTO COSTA;PP;11
230000001960;BOA VISTA;03018;5;SUPLENTE;MARIA DARLENE DA SILVA VASCONCELOS;PRB;0
230000001955;BOA VISTA;03018;1;SUPLENTE;EDSON PEDROSO DA SILVA;PRB;17
230000001560;BOA VISTA;03018;1;SUPLENTE;AFONSO VALTER PARENTE PINTO;PSC;338
230000001585;BOA VISTA;03018;5;SUPLENTE;MESSIAS DOS SANTOS SILVA;PMB;112
230000002377;BOA VISTA;03018;1;SUPLENTE;ELISANGELA DE ARAUJO SANTOS;PRTB;102
230000002151;BOA VISTA;03018;5;SUPLENTE;MARICELMA MEIRELLES PINTO;PTN;56
230000002167;BOA VISTA;03018;5;SUPLENTE;MARCELO DE LIMA LOPES;PEN;1105
230000002145;BOA VISTA;03018;1;SUPLENTE;MARISTELA  SILVA  SOUSA;PTN;43
230000002075;BOA VISTA;03018;5;SUPLENTE;JOSÉ FLÁVIO DE MATOS;PT do B;533
230000002075;BOA VISTA;03018;1;SUPLENTE;JOSÉ FLÁVIO DE MATOS;PT do B;309
230000001758;BOA VISTA;03018;5;SUPLENTE;LUIZ GONZAGA DE OLIVEIRA NETO;PDT;28
230000001786;BOA VISTA;03018;1;SUPLENTE;ELIEL BEZERRA LIMA;PHS;50
230000001762;BOA VISTA;03018;5;SUPLENTE;WILSON BATISTA HENDGES;PDT;48
230000002346;BOA VISTA;03018;5;SUPLENTE;SANDRO CAVALCANTE FRANÇA;PPS;997
230000002337;BOA VISTA;03018;1;SUPLENTE;MÁRCIO MAGALHÃES HORÁCIO;PPS;21
230000003007;BOA VISTA;03018;5;SUPLENTE;IVANILCE NINA NUNES;PPS;11
230000002425;BOA VISTA;03018;1;NÃO ELEITO;NAYARA MARTINS MAIA;PRP;133
230000001789;BOA VISTA;03018;1;ELEITO POR MÉDIA;LINOBERG BARBOSA DE ALMEIDA;REDE;936
230000002364;BOA VISTA;03018;1;ELEITO POR QP;ÍTALO OTÁVIO TEIXEIRA PINTO;PR;501
230000002348;BOA VISTA;03018;1;ELEITO POR QP;MAGNÓLIA DE SOUSA MONTEIRO ROCHA;PPS;1226
230000002164;BOA VISTA;03018;1;NÃO ELEITO;IDINALDO CARDOSO DA SILVA;PMN;0
230000002587;BOA VISTA;03018;1;SUPLENTE;ALEXANDRE MOTA MONTEIRO;PC do B;412
230000002591;BOA VISTA;03018;1;SUPLENTE;DARKSON CORREA MOTA;PC do B;408
230000002792;BOA VISTA;03018;1;SUPLENTE;OSIEL ANDRADE DE ALCANTARA;PC do B;210
230000002090;BOA VISTA;03018;1;SUPLENTE;SOLANGE DA SILVA ANDRADE;PSD;14
230000001954;BOA VISTA;03018;1;SUPLENTE;ADAILTON MENDES GALVÃO;PRB;513
230000001940;BOA VISTA;03018;5;SUPLENTE;YGOR ABDALA CARRAMILO;PP;65
230000001562;BOA VISTA;03018;1;SUPLENTE;ALTEVIR GONÇALVES DE SOUZA;PSC;16
230000001582;BOA VISTA;03018;1;SUPLENTE;MARCYEL DAMASCENO DE OLIVEIRA;PMB;89
230000002380;BOA VISTA;03018;5;SUPLENTE;FRANCISCO CANDIDO;PRTB;81
230000002153;BOA VISTA;03018;5;SUPLENTE;MARIA LUCIANA FURTADO PEREIRA;PEN;34
230000002158;BOA VISTA;03018;5;SUPLENTE;IVANETE DE JESUS OLIVEIRA;PTN;88
230000001773;BOA VISTA;03018;5;SUPLENTE;PEDRO DE ALMEIDA SOUZA;PDT;64
230000001780;BOA VISTA;03018;5;SUPLENTE;AIRTON CESAR DA SILVA RATES;PHS;382
230000001777;BOA VISTA;03018;5;SUPLENTE;ILLO AUGUSTO DOS SANTOS FILHO;PDT;481
230000001759;BOA VISTA;03018;5;SUPLENTE;ADMAEL MOTA DOS SANTOS;PDT;220
230000001772;BOA VISTA;03018;5;SUPLENTE;FRANCINALDO DE SOUSA SOARES;PDT;302
230000001776;BOA VISTA;03018;5;SUPLENTE;JORDAN DA SILVA LARANJEIRA;PDT;190
230000002427;BOA VISTA;03018;5;NÃO ELEITO;LEONARDO RODRIGUES MOREIRA;PRP;418
230000001727;BOA VISTA;03018;5;SUPLENTE;RAIMUNDO ULINALDO PEREIRA SOUZA;PTC;524
230000002586;BOA VISTA;03018;1;SUPLENTE;ROSIVALDO BEZERRA DA SILVA;PC do B;43
230000002785;BOA VISTA;03018;1;SUPLENTE;HAMILTON CASTRO CAVALCANTE;PC do B;13
230000002101;BOA VISTA;03018;5;SUPLENTE;VALDINA TEIXEIRA LIMA TAVERA;PSD;416
230000001963;BOA VISTA;03018;5;SUPLENTE;WEULLER JACKSON LOPES DOS PASSOS;PRB;787
230000001958;BOA VISTA;03018;5;SUPLENTE;JOSÉ ALCIONE ALMEIDA JUNIOR;PRB;982
230000001579;BOA VISTA;03018;5;SUPLENTE;DEISY MEIRY CARDOSO;PMB;66
230000001589;BOA VISTA;03018;5;SUPLENTE;ROBERVANIA MARCELO SOUSA;PMB;18
230000002366;BOA VISTA;03018;5;SUPLENTE;HÉLIO FURTADO LADEIRA;PRTB;42
230000002375;BOA VISTA;03018;5;SUPLENTE;IRAN DE OLIVEIRA MARINHO;PRTB;207
230000002393;BOA VISTA;03018;5;SUPLENTE;ALDO DANTAS SALES;DEM;29
230000002154;BOA VISTA;03018;5;SUPLENTE;JOSE ALVES BRASIL;PTN;163
230000002173;BOA VISTA;03018;5;SUPLENTE;WELLINGTON COSTA RODRIGUES DO Ó;PEN;855
230000002169;BOA VISTA;03018;1;SUPLENTE;NATAL ALTAIR SOARES;PEN;70
230000002174;BOA VISTA;03018;1;SUPLENTE;YUNGO DE PAIVA MACEDO;PEN;54
230000002073;BOA VISTA;03018;5;SUPLENTE;JANICE RIBEIRO COELHO;SD;219
230000001766;BOA VISTA;03018;5;SUPLENTE;LUCELIA BENTO;PDT;24
230000001790;BOA VISTA;03018;1;SUPLENTE;ELIZENE MIRANDA DA SILVA;REDE;4
230000002358;BOA VISTA;03018;5;SUPLENTE;MARCELO NASCIMENTO DE MEIRELES;PR;422
230000002334;BOA VISTA;03018;1;SUPLENTE;JOSEFA MATOS DE FREITAS;PPS;128
230000002363;BOA VISTA;03018;1;SUPLENTE;VERONICE ROMÃO SILVA;PR;179
230000002345;BOA VISTA;03018;5;SUPLENTE;CLARICE CUSTODIO DE SOUSA;PPS;104
230000002359;BOA VISTA;03018;5;SUPLENTE;MARLON ARAUJO TRIGO;PR;9
230000002424;BOA VISTA;03018;1;NÃO ELEITO;ANDRE FABIANO SILVA BARBOSA;PRP;227
230000002437;BOA VISTA;03018;5;NÃO ELEITO;LUZIA CLEIDIMAR DO VALE LIMA;PRP;0
230000002964;BOA VISTA;03018;1;NÃO ELEITO;ALAINE DA SILVA ANASTACIO;PRP;1
230000002298;BOA VISTA;03018;5;NÃO ELEITO;LUIZ DA SILVA NEVES;PV;87
230000002313;BOA VISTA;03018;1;NÃO ELEITO;MARIA PERPETUA DA SILVA;PTB;4
230000002584;BOA VISTA;03018;5;ELEITO POR MÉDIA;JOSÉ FRANCISCO LOPES DE ALBUQUERQUE;PC do B;1502
230000001564;BOA VISTA;03018;1;ELEITO POR MÉDIA;EDUARDO JORGE SILVA ROCHA;PSC;296
