"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NM_SOCIAL_CANDIDATO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03018";"BOA VISTA";"03018";"BOA VISTA";"1";"13";"Vereador";"230000002789";"65222";"KATIANA DA ENCARNAÇÃO RODRIGUES";"KATIANA DA K. STYLUS";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"65";"PC do B";"Partido Comunista do Brasil";"230000000309";"BOA VISTA PARA TODOS NÓS";"PC do B / PT";"5";"SUPLENTE";"N";"25"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03018";"BOA VISTA";"03018";"BOA VISTA";"5";"13";"Vereador";"230000002591";"65445";"DARKSON CORREA MOTA";"KINHO CORREA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"65";"PC do B";"Partido Comunista do Brasil";"230000000309";"BOA VISTA PARA TODOS NÓS";"PC do B / PT";"5";"SUPLENTE";"N";"645"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03018";"BOA VISTA";"03018";"BOA VISTA";"1";"13";"Vereador";"230000002100";"55100";"IDALIANA DA SILVA RODRIGUES";"ANA SILVA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"55";"PSD";"Partido Social Democrático";"230000000210";"TRABALHANDO POR BOA VISTA";"PSD / PPL";"5";"SUPLENTE";"N";"31"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03018";"BOA VISTA";"03018";"BOA VISTA";"5";"13";"Vereador";"230000002105";"55123";"ITAMAR ELIAS DE OLIVEIRA JUNIOR";"BAIANO DO CIDADE SATELITE";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"55";"PSD";"Partido Social Democrático";"230000000210";"TRABALHANDO POR BOA VISTA";"PSD / PPL";"5";"SUPLENTE";"N";"229"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03018";"BOA VISTA";"03018";"BOA VISTA";"5";"13";"Vereador";"230000001948";"11234";"MARIA DO SOCORRO ARAÚJO COSTA";"FERNANDA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"11";"PP";"Partido Progressista";"230000000200";"BOA VISTA PARA VOCÊ I";"PRB / PP";"5";"SUPLENTE";"N";"57"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03018";"BOA VISTA";"03018";"BOA VISTA";"1";"13";"Vereador";"230000001949";"11555";"JOSÉ AUGUSTO COSTA";"JOSÉ AUGUSTO DO EQUATORIAL";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"11";"PP";"Partido Progressista";"230000000200";"BOA VISTA PARA VOCÊ I";"PRB / PP";"5";"SUPLENTE";"N";"11"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03018";"BOA VISTA";"03018";"BOA VISTA";"5";"13";"Vereador";"230000001960";"10963";"MARIA DARLENE DA SILVA VASCONCELOS";"DARLENE VASCONCELOS";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"10";"PRB";"Partido Republicano Brasileiro";"230000000200";"BOA VISTA PARA VOCÊ I";"PRB / PP";"5";"SUPLENTE";"N";"0"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03018";"BOA VISTA";"03018";"BOA VISTA";"1";"13";"Vereador";"230000001955";"10777";"EDSON PEDROSO DA SILVA";"EDSON PEDROSO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"10";"PRB";"Partido Republicano Brasileiro";"230000000200";"BOA VISTA PARA VOCÊ I";"PRB / PP";"5";"SUPLENTE";"N";"17"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03018";"BOA VISTA";"03018";"BOA VISTA";"1";"13";"Vereador";"230000001560";"20105";"AFONSO VALTER PARENTE PINTO";"AFONSO PARENTE";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"20";"PSC";"Partido Social Cristão";"230000000160";"UNIDOS PARA VENCER";"PSC / PMB";"5";"SUPLENTE";"N";"338"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03018";"BOA VISTA";"03018";"BOA VISTA";"5";"13";"Vereador";"230000001585";"35777";"MESSIAS DOS SANTOS SILVA";"DR. MESSIAS";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"35";"PMB";"Partido da Mulher Brasileira";"230000000160";"UNIDOS PARA VENCER";"PSC / PMB";"5";"SUPLENTE";"N";"112"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03018";"BOA VISTA";"03018";"BOA VISTA";"1";"13";"Vereador";"230000002377";"28029";"ELISANGELA DE ARAUJO SANTOS";"ELISANGELA ARAUJO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"28";"PRTB";"Partido Renovador Trabalhista Brasileiro";"230000000230";" BOA VISTA PARA TODOS 1 ";"DEM / PRTB / PSDB";"5";"SUPLENTE";"N";"102"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03018";"BOA VISTA";"03018";"BOA VISTA";"5";"13";"Vereador";"230000002151";"19677";"MARICELMA MEIRELLES PINTO";"CELMINHA DO PODER";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"19";"PTN";"Partido Trabalhista Nacional";"230000000213";"BOA VISTA JUSTA PARA TODOS";"PTN / PMN / PEN";"5";"SUPLENTE";"N";"56"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03018";"BOA VISTA";"03018";"BOA VISTA";"5";"13";"Vereador";"230000002167";"51555";"MARCELO DE LIMA LOPES";"MARCELO LOPES";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"51";"PEN";"Partido Ecológico Nacional";"230000000213";"BOA VISTA JUSTA PARA TODOS";"PTN / PMN / PEN";"5";"SUPLENTE";"N";"1105"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03018";"BOA VISTA";"03018";"BOA VISTA";"1";"13";"Vereador";"230000002145";"19555";"MARISTELA  SILVA  SOUSA";"MARISTELA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"19";"PTN";"Partido Trabalhista Nacional";"230000000213";"BOA VISTA JUSTA PARA TODOS";"PTN / PMN / PEN";"5";"SUPLENTE";"N";"43"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03018";"BOA VISTA";"03018";"BOA VISTA";"5";"13";"Vereador";"230000002075";"70123";"JOSÉ FLÁVIO DE MATOS";"FLÁVIO DO PADRE CÍCERO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"70";"PT do B";"Partido Trabalhista do Brasil";"230000000209";"BOA VISTA PARA TODOS";"PMDB / PSB / SD / PSDC / PT do B / PSL";"5";"SUPLENTE";"N";"533"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03018";"BOA VISTA";"03018";"BOA VISTA";"1";"13";"Vereador";"230000002075";"70123";"JOSÉ FLÁVIO DE MATOS";"FLÁVIO DO PADRE CÍCERO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"70";"PT do B";"Partido Trabalhista do Brasil";"230000000209";"BOA VISTA PARA TODOS";"PMDB / PSB / SD / PSDC / PT do B / PSL";"5";"SUPLENTE";"N";"309"
